Natureza;1;2;3;4;TOTAL
Terceiros;155772.13;184940.46;164934.79;137898.13;643545.51
RH Inovação parcial;281.47;76.59;2326.1;2017.96;4702.12
TOTAL;156053.6;185017.05;167260.89;139916.09;648247.63
Exclusão da base;93632.16;111010.23;100356.53;83949.65;388948.57
Economia estimada;31834.93;37743.48;34121.22;28542.88;132242.51
Terceiros;173023.57;173934.34;184541.98;281505.42;813005.31
RH Inovação parcial;0.0;3307.13;6764.06;6739.51;16810.7
TOTAL;173023.57;177241.47;191306.04;288244.93;829816.01
Exclusão da base;103814.14;106344.88;114783.62;172946.96;497889.6
Economia estimada;35296.81;36157.26;39026.43;58801.97;169282.47
