Projeto;Atividade realizada;Código;Ano;Projeto incentivado?;Atividade incentivada?
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Função do rastreador;BE-349;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Função do rastreador - Adequação dos serviços de cache;BE-350;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Função do rastreador - Adequação dos serviços de processamento;BE-353;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação Contatto - Torre de Controle - Tempo em Cerca - Incluir histórico (i);BE-1379;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação Contatto - Torre de Controle - Auditoria - Unificar mapa de ETA e Visualizar posição;BE-1467;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação Contatto - Habilitar e verificar serviços de vinculo de km;BE-1625;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação IC - Relatórios - Incluir informações de tempo em atividades no relatório de jornada;BE-1479;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação IC - Data Lake - Criação de usuário para IC Transportes;BE-1489;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação IC - Automação - ETA - Ajustes para baixa de Shift e RV;BE-1491;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação IC - Schedule - Cálculo de pedágio com eixo levantado;BE-1614;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação Monfredini - Buonny - Integração com SM (início de programação de carga);BE-1385;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação Monfredini - Programação de carga - Adaptar o modelo de integração do mercado livre para a shopee;BE-1418;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação Monfredini - Monfredini - Ativação OMINILINK;BE-1526;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação Monfredini - Autotrac - Criar vinculo de id_tracking automático;BE-1531;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação Monfredini - Adaptar serviços de processamento de documentos para entender documento SHOPEE;BE-1580;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação Monfredini - Montar backlog de atividades para controle do ETD;BE-1621;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação Monfredini - Habilitar consumers e dispatchers SASCAR;BE-1649;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação Rodomeu - Rodopar - Ativar alertas de documentação para Rodomeu (Veículos);BE-1362;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação Rodomeu - Torre de Controle - Configurar na assinatura quais divisões podem receber vinculo de motorista na torre de controle;BE-1440;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação Rodomeu - Ponto de parada obrigatório dos documentos Rodomeu;BE-200;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Implantação VIX Pesados - Prog de Carga - Criar filtro para esconder programações entregues;BE-1560;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Incluir documento nos registros de jornada operacional - Melhorar repositório para obter macros e viagens vinculadas;BE-401;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Incluir documento nos registros de jornada operacional - Nova task para preencher o document_code nas macros;BE-402;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Incluir documento nos registros de jornada operacional - Carregar regras de jornada a partir das novas configurações das macros;BE-403;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Incluir documento nos registros de jornada operacional - Refatorar lógica de processamento das jornadas;BE-404;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Jornada do motorista - Incluir tempo em atividade no processamento de jornadas;BE-1334;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Jornada do motorista - Condutores - Auditoria - Incluir informações novas na tela de auditoria;BE-1337;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Melhorias documentos - Schedule - Incluir tempo em cerca/atividade no documento;BE-1047;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Melhorias gerais - Remover informação dos dados de cache direção continua;BE-1417;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Melhorias gerais - Relatórios - Utilizar informações de performed_schedule a partir do Data lake;BE-1443;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Melhorias gerais - Alterações em tela;BE-1486;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Melhorias gerais - Incluir estrutura para armazenar observações no snapshot do veiculo;BE-1503;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Melhorias gerais - Relatório - Jornada - Inclusão de Colunas de Qntd de Pausas e Tempo Total Pausas;BE-1515;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Melhorias gerais - Incluir novas informações na estrutura de dados básicos no snapshot do veículo;BE-1554;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Melhorias gerais - Auditoria - Extração para excel das tabelas de auditoria;BE-1573;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Melhorias gerais - Simplificar parâmetros no processamento de tempo em cerca dinâmica;BE-1574;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Modulo de segurança - Alertas - Coluna de Divisão - Opção de selecionar 2 ou mais opções;BE-301;;Sim;Sim
E-Log - Plataforma Inteligente e Adaptativa para Gestão Logística e Integração de Sistemas;Modulo de segurança - Alertas - Coluna de Velocidade - Opção de Ordenação;BE-302;;Sim;Sim
